                                                                 The SAS System                            10:48 Thursday, September 10, 2020   1

                                                                                           members_
                                             Obs    contract    Mon     Yr     mmos_sum       sum

                                               1      ANT        1     2015      14934        7469 
                                               2      CMS        1     2015      80438       40219 
                                               3      ANT        2     2015      15134        7565 
                                               4      CMS        2     2015      81722       40861 
                                               5      ANT        3     2015      15325        7664 
                                               6      CMS        3     2015      82584       41292 
                                               7      ANT        4     2015      15491        7746 
                                               8      CMS        4     2015      83290       41645 
                                               9      ANT        5     2015      15668        7833 
                                              10      CMS        5     2015      83876       41938 
                                              11      ANT        6     2015      15825        7910 
                                              12      CMS        6     2015      84410       42205 
                                              13      ANT        7     2015      16018        8008 
                                              14      CMS        7     2015      84932       42466 
                                              15      ANT        8     2015      16237        8116 
                                              16      CMS        8     2015      85470       42735 
                                              17      ANT        9     2015      16466        8233 
                                              18      CMS        9     2015      85968       42984 
                                              19      ANT       10     2015      16656        8326 
                                              20      CMS       10     2015      86452       43226 
                                              21      ANT       11     2015      16776        8388 
                                              22      CMS       11     2015      86934       43467 
                                              23      ANT       12     2015      16978        8488 
                                              24      CMS       12     2015      87402       43701 
                                              25      HBG       12     2015          6           6 
