,mmos_sum_PD20180131,mmos_sum_PD20180228,mmos_sum_PD20180331,mmos_sum_PD20180430,mmos_sum_PD20180531,mmos_sum_PD20180630,mmos_sum_PD20180731,mmos_sum_PD20180831,mmos_sum_PD20180930,mmos_sum_PD20181031,mmos_sum_PD20181130,mmos_sum_PD20181231,mmos_sum_PD20190131,mmos_sum_PD20190228,mmos_sum_PD20190331,mmos_sum_PD20190430,mmos_sum_PD20190531,mmos_sum_PD20190630,mmos_sum_PD20190731,amt_all_sum_PD20180131,amt_all_sum_PD20180228,amt_all_sum_PD20180331,amt_all_sum_PD20180430,amt_all_sum_PD20180531,amt_all_sum_PD20180630,amt_all_sum_PD20180731,amt_all_sum_PD20180831,amt_all_sum_PD20180930,amt_all_sum_PD20181031,amt_all_sum_PD20181130,amt_all_sum_PD20190131,amt_all_sum_PD20190228,amt_all_sum_PD20190331,amt_all_sum_PD20190430,amt_all_sum_PD20190531,amt_all_sum_PD20190630,amt_all_sum_PD20190731,amt_pay_sum_PD20180131,amt_pay_sum_PD20180228,amt_pay_sum_PD20180331,amt_pay_sum_PD20180430,amt_pay_sum_PD20180531,amt_pay_sum_PD20180630,amt_pay_sum_PD20180731,amt_pay_sum_PD20180831,amt_pay_sum_PD20180930,amt_pay_sum_PD20181031,amt_pay_sum_PD20181130,amt_pay_sum_PD20190131,amt_pay_sum_PD20190228,amt_pay_sum_PD20190331,amt_pay_sum_PD20190430,amt_pay_sum_PD20190531,amt_pay_sum_PD20190630,amt_pay_sum_PD20190731,amt_req_sum_PD20180131,amt_req_sum_PD20180228,amt_req_sum_PD20180331,amt_req_sum_PD20180430,amt_req_sum_PD20180531,amt_req_sum_PD20180630,amt_req_sum_PD20180731,amt_req_sum_PD20180831,amt_req_sum_PD20180930,amt_req_sum_PD20181031,amt_req_sum_PD20181130,amt_req_sum_PD20190131,amt_req_sum_PD20190228,amt_req_sum_PD20190331,amt_req_sum_PD20190430,amt_req_sum_PD20190531,amt_req_sum_PD20190630,amt_req_sum_PD20190731,numrows_sum_PD20180131,numrows_sum_PD20180228,numrows_sum_PD20180331,numrows_sum_PD20180430,numrows_sum_PD20180531,numrows_sum_PD20180630,numrows_sum_PD20180731,numrows_sum_PD20180831,numrows_sum_PD20180930,numrows_sum_PD20181031,numrows_sum_PD20181130,numrows_sum_PD20190131,numrows_sum_PD20190228,numrows_sum_PD20190331,numrows_sum_PD20190430,numrows_sum_PD20190531,numrows_sum_PD20190630,numrows_sum_PD20190731,qty_sum_PD20180131,qty_sum_PD20180228,qty_sum_PD20180331,qty_sum_PD20180430,qty_sum_PD20180531,qty_sum_PD20180630,qty_sum_PD20180731,qty_sum_PD20180831,qty_sum_PD20180930,qty_sum_PD20181031,qty_sum_PD20181130,qty_sum_PD20190131,qty_sum_PD20190228,qty_sum_PD20190331,qty_sum_PD20190430,qty_sum_PD20190531,qty_sum_PD20190630,qty_sum_PD20190731,amt_all_pmpm_pre,amt_all_pmpm_cur,amt_pay_pmpm_pre,amt_pay_pmpm_cur
2014-01,57292.0,57833.0,58251.0,58589.0,58921.0,59212.0,61115.0,61474.0,61709.0,62068.0,62353.0,64295.0,65007.0,65380.0,66113.0,67287.0,67639.0,68153.0,68198.0,14686.24,14686.24,14686.24,14686.24,14686.24,14686.24,14686.24,14686.24,14686.24,14686.24,14686.24,3321700.1100000096,4784746.72000001,6803583.850000006,9215432.000000007,10214005.04000001,13561108.140000029,13561108.140000029,14686.24,14686.24,14686.24,14686.24,14686.24,14686.24,14686.24,14686.24,14686.24,14686.24,14686.24,3273566.3000000087,4713869.350000009,6701757.7000000095,9077591.380000012,10049886.910000015,13359561.980000034,13359561.980000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4418.0,6357.0,9225.0,12617.0,14910.0,18495.0,18495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12825.499979555607,17690.399958193302,23926.999939501286,35825.5999327898,41993.09990513325,57976.29988729954,57976.29988729954,198.98035508341567,198.8490592099479,196.02309480140323,195.89375025660627
2014-02,57622.0,58168.0,58589.0,58928.0,59264.0,59558.0,61470.0,61833.0,62069.0,62431.0,62717.0,64671.0,65387.0,65763.0,66500.0,67681.0,68035.0,68554.0,68599.0,0.0,10259.13,10259.13,10259.13,10259.13,10259.13,10259.13,10259.13,10259.13,10259.13,10259.13,5633401.859999966,7197383.379999968,8757472.41999997,10710455.62999997,12440464.09999997,16652567.279999992,16652567.279999992,0.0,10259.13,10259.13,10259.13,10259.13,10259.13,10259.13,10259.13,10259.13,10259.13,10259.13,5601147.999999963,7147434.929999962,8683258.539999962,10611898.34999996,12324661.089999963,16511153.579999983,16511153.579999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4538.0,6745.0,9197.0,11972.0,14186.0,17955.0,17955.0,6.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,16703.199919462204,24607.199917554855,29804.099915742874,39561.79989129305,48903.69986611605,64947.699844658375,64947.699844658375,242.91167955188598,242.75233283284,240.84887212999948,240.6908785842357
2014-03,57980.0,58529.0,58955.0,59294.0,59633.0,59927.0,61850.0,62216.0,62454.0,62823.0,63112.0,65075.0,65797.0,66175.0,66917.0,68106.0,68464.0,68991.0,69036.0,0.0,0.0,17944.28,17944.28,17944.28,17944.28,17944.28,17944.28,17944.28,17944.28,17944.28,4897691.599999991,7617232.109999989,9094690.989999987,11387897.71999999,13579630.779999986,18620318.659999955,18620318.659999955,0.0,0.0,17944.28,17944.28,17944.28,17944.28,17944.28,17944.28,17944.28,17944.28,17944.28,4863658.559999995,7564630.369999995,9023264.37999999,11288766.229999987,13462263.569999984,18474133.91999996,18474133.91999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4853.0,7535.0,10485.0,13887.0,16272.0,20214.0,20214.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,15751.399938583374,25407.29993247986,30149.099927067757,40884.499842345715,50259.19980496168,67677.19971722364,67677.19971722364,269.89489440651613,269.71896778492317,267.7759986085136,267.6014531548752
2014-04,58290.0,58846.0,59275.0,59618.0,59961.0,60258.0,62188.0,62555.0,62796.0,63168.0,63459.0,65435.0,66159.0,66541.0,67286.0,68485.0,68844.0,69373.0,69418.0,0.0,0.0,0.0,0.0,6031.75,6031.75,6031.75,6031.75,6031.75,6031.75,6031.75,3715224.6300000106,6461197.970000018,9110102.830000024,11328936.490000026,14212775.300000032,18528906.390000038,18528906.390000038,0.0,0.0,0.0,0.0,6031.75,6031.75,6031.75,6031.75,6031.75,6031.75,6031.75,3684491.860000007,6409885.640000012,9033751.440000016,11228693.680000015,14096633.690000024,18386153.640000027,18386153.640000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4845.0,7467.0,10580.0,14024.0,16284.0,20419.0,20419.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14755.299945831299,22906.999935150146,31938.49990463257,44675.59989273548,49655.899888157845,64346.0998364687,64346.0998364687,267.0910352730895,266.9178943501691,265.0332786530787,264.8614716644102
2014-05,58593.0,59155.0,59589.0,59936.0,60279.0,60579.0,62522.0,62890.0,63133.0,63509.0,63803.0,65789.0,66517.0,66903.0,67655.0,68865.0,69228.0,69758.0,69804.0,-5522.36,-5522.36,-5522.36,-5522.36,-5522.36,-5522.36,-5522.36,-5522.36,-5522.36,-5522.36,-5522.36,4183387.2499999707,6052597.019999969,8068860.54999997,10285841.509999964,11318542.129999964,15910090.959999943,15910090.959999943,-5522.36,-5522.36,-5522.36,-5522.36,-5522.36,-5522.36,-5522.36,-5522.36,-5522.36,-5522.36,-5522.36,4151841.139999961,6003691.76999996,8001077.869999961,10189049.829999952,11203800.51999995,15769066.179999933,15769066.179999933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4918.0,7770.0,10589.0,13830.0,16200.0,20526.0,20526.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,12420.299962997437,19026.799918293953,27221.3998786211,38564.79983842373,43240.49974453449,60124.699624180794,60124.699624180794,228.07550331144733,227.92520428628652,226.05387453768645,225.90490774167574
2014-06,58928.0,59495.0,59934.0,60284.0,60630.0,60931.0,62879.0,63250.0,63494.0,63871.0,64165.0,66163.0,66896.0,67286.0,68045.0,69264.0,69629.0,70162.0,70208.0,3578.98,17223.58,17223.58,17223.58,17223.58,17223.58,17223.58,17223.58,17223.58,17223.58,17223.58,3333691.719999999,6012831.92,9466228.21,11143921.29,13457818.469999995,18528751.880000006,18528751.880000006,3576.73,17221.33,17221.33,17221.33,17221.33,17221.33,17221.33,17221.33,17221.33,17221.33,17221.33,3305313.669999999,5965341.41,9397885.409999998,11053883.370000001,13347131.51,18394911.91000001,18394911.91000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,4426.0,6943.0,9999.0,13289.0,16004.0,20255.0,20255.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,23.0,23.0,23.0,23.0,14118.799953460693,22671.3999042511,31881.299880981445,41074.5998416543,48154.199834406376,66093.39983093739,66093.39983093739,264.08528662238825,263.91225900182326,262.1777017473848,262.00592396877863
2014-07,59266.0,59839.0,60280.0,60632.0,60981.0,61282.0,63240.0,63614.0,63860.0,64248.0,64544.0,66554.0,67294.0,67687.0,68450.0,69678.0,70050.0,70589.0,70635.0,1293.199999999997,1293.199999999997,7134.4699999999975,7134.4699999999975,7134.4699999999975,7134.4699999999975,7134.4699999999975,7134.4699999999975,7134.4699999999975,7134.4699999999975,7134.4699999999975,2850182.8000000403,5095854.650000027,7418786.650000027,9999629.530000027,11433970.170000022,21648517.540000092,21648517.540000092,1293.199999999997,1293.199999999997,7134.4699999999975,7134.4699999999975,7134.4699999999975,7134.4699999999975,7134.4699999999975,7134.4699999999975,7134.4699999999975,7134.4699999999975,7134.4699999999975,2824901.760000036,5057202.640000024,7361598.340000024,9921301.220000027,11339324.95000002,21527081.38000008,21527081.38000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,5207.0,7922.0,11252.0,14580.0,16893.0,21901.0,21901.0,2.0,2.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,15105.799921035767,22868.199884414673,30800.399881362915,40361.6998744607,46032.49984318018,66658.9998408556,66658.9998408556,306.6840094065661,306.48428597720806,304.9636824434413,304.76507935159736
2014-08,59669.0,60247.0,60693.0,61049.0,61402.0,61706.0,63680.0,64058.0,64307.0,64697.0,64993.0,67013.0,67758.0,68155.0,68922.0,70159.0,70532.0,71074.0,71120.0,10980.16,10980.16,10980.16,10980.16,10980.16,10980.16,10980.16,10980.16,10980.16,10980.16,10980.16,4530063.880000013,5704717.83000001,7833357.22,11060000.999999994,13558805.659999995,18305998.379999988,18305998.379999988,10980.16,10980.16,10980.16,10980.16,10980.16,10980.16,10980.16,10980.16,10980.16,10980.16,10980.16,4497122.940000005,5657899.610000001,7769372.899999992,10974214.739999996,13456709.859999994,18179169.47999999,18179169.47999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,5587.0,7712.0,10405.0,13567.0,15955.0,20374.0,20374.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,14854.799967765808,19438.4999666214,29673.19995212555,38291.69994175434,44814.199796795845,61110.499791264534,61110.499791264534,257.5625176576524,257.3959277277838,255.77805498494513,255.61261923509545
2014-09,60012.0,60594.0,61043.0,61403.0,61758.0,62063.0,64044.0,64427.0,64678.0,65070.0,65367.0,67392.0,68139.0,68537.0,69307.0,70550.0,70925.0,71477.0,71523.0,15285676.320000015,15285676.320000015,15285676.320000015,15285676.320000015,15285676.320000015,15285676.320000015,15285676.320000015,15299555.100000015,15299555.100000015,15299555.100000015,15299555.100000015,19548636.990000036,23298649.88000003,28009967.780000012,30506767.16,32772562.640000008,36005734.89000002,36005734.89000002,15285562.420000017,15285562.420000017,15285562.420000017,15285562.420000017,15285562.420000017,15285562.420000017,15285562.420000017,15299441.200000016,15299441.200000016,15299441.200000016,15299441.200000016,19511032.430000022,23239879.909999996,27928094.079999987,30400055.839999977,32648141.609999977,35856241.559999995,35856241.559999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,104.0,104.0,104.0,104.0,5103.0,7440.0,10356.0,14364.0,17229.0,21215.0,21215.0,22313.0,22313.0,22313.0,22313.0,22313.0,22313.0,22313.0,22319.0,22319.0,22319.0,22319.0,42024.19993454218,50072.09992271662,61689.499897539616,72029.59986317158,78764.69984024763,94475.49983948469,94475.49983948469,503.7387535850696,503.4147741286023,501.6472649943338,501.3246306782433
2014-10,60407.0,60993.0,61446.0,61807.0,62167.0,62476.0,64466.0,64850.0,65107.0,65503.0,65805.0,67836.0,68591.0,68992.0,69771.0,71024.0,71400.0,71961.0,72007.0,46211.640000000014,55056.87000000001,55240.63000000002,55209.40000000002,55209.40000000002,55271.86000000002,56393.86000000002,56456.32000000002,56457.97000000002,56547.85000000003,56521.38000000003,4154701.180000001,6598827.980000005,9921178.070000011,12679382.420000032,15649257.210000042,19776207.130000047,19776207.130000047,44113.940000000024,52959.17000000003,53103.24000000003,53078.76000000003,53078.76000000003,53127.73000000003,54007.380000000034,54056.34000000003,54057.630000000034,54128.100000000035,54107.34000000003,4116529.2199999983,6540895.429999996,9844370.829999996,12580423.950000012,15531981.700000014,19634086.370000027,19634086.370000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,517.0,524.0,529.0,529.0,530.0,532.0,543.0,544.0,554.0,561.0,6671.0,9669.0,13161.0,17336.0,20352.0,25184.0,25184.0,402.0,411.0,418.0,419.0,419.0,420.0,422.0,422.0,423.0,429.0,430.0,13475.699970006943,21433.09994673729,31833.499940633774,43036.4999306798,50067.99990397692,99517.59990149736,99517.59990149736,274.8184034407533,274.64284208479796,272.8434342213147,272.66913452858785
